,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
169,Saint Lucia,23161,0,368,1,22716,8,77,1,125102,1988,142292,768577,185137,North America,0.0,0.2717391304347826,0.035217467864060575
170,Timor-Leste,22857,3,130,0,22714,10,13,0,16762,95,260621,191124,1363623,Asia,0.0131250820317627,0.0,0.0440257110152329
171,Cayman Islands,21755,349,26,0,8553,0,13176,1,324164,387,222773,3319471,67111,North America,1.6042289128935878,0.0,0.0
172,Burkina Faso,20853,0,382,0,20439,0,32,0,951,17,248995,11352,21934142,Africa,0.0,0.0,0.0
173,Nicaragua,18491,0,225,0,4225,0,14041,0,2733,33,0,0,6766386,North America,0.0,0.0,0.0
174,Gibraltar,17706,212,101,0,16579,0,1026,0,525822,2999,534283,15866807,33673,Europe,1.197334236981814,0.0,0.0
175,South Sudan,17420,0,138,0,13514,0,3768,1,1524,12,375617,32863,11429891,Africa,0.0,0.0,0.0
176,Liechtenstein,17049,22,84,0,16724,22,241,3,444853,2192,102174,2665988,38325,Europe,0.12903982638277905,0.0,0.13154747668022004
177,San Marino,16140,64,114,0,15662,47,364,4,473884,3347,149271,4382718,34059,Europe,0.3965303593556382,0.0,0.30008938832843823
178,Equatorial Guinea,15907,0,183,0,15698,0,26,5,10706,123,310972,209287,1485866,Africa,0.0,0.0,0.0
179,Djibouti,15611,13,189,0,15411,7,11,0,15398,186,303924,299771,1013853,Africa,0.08327461405419255,0.0,0.0454221010966193
180,CAR,14649,0,113,0,6859,0,7677,2,2941,23,81294,16321,4980853,Africa,0.0,0.0,0.0
181,Grenada,14332,45,220,1,13872,22,240,4,126317,1939,147982,1304254,113461,North America,0.3139826960647502,0.45454545454545453,0.15859284890426759
182,Bermuda,13143,0,131,0,12719,0,293,0,212450,2118,866313,14003508,61864,North America,0.0,0.0,0.0
183,Solomon Islands,12437,0,139,0,11194,0,1104,2,17341,194,5117,7135,717182,Australia/Oceania,0.0,0.0,0.0
184,Dominica,12011,23,63,0,11926,23,22,0,166109,871,187690,2595702,72308,North America,0.19149113312796603,0.0,0.19285594499413047
185,Gambia,11995,0,365,0,11591,0,39,0,4725,144,155686,61323,2538770,Africa,0.0,0.0,0.0
186,Greenland,11971,0,21,0,2761,0,9189,4,210213,369,164926,2896131,56947,North America,0.0,0.0,0.0
